strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value,name,sector,cb_type,item_1,item_2,Year,strategy,strategy_id,primary_id,ids,gdp_mmm_usd
PFLO:LEP,0.0,libya,7.0,pop_unimproved_rural,299091.209054372,299091.209054372,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2022.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,134.86
PFLO:LEP,0.0,libya,8.0,pop_unimproved_rural,294340.07849347586,294340.07849347586,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2023.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,148.5563816
PFLO:LEP,0.0,libya,9.0,pop_unimproved_rural,289474.71138817567,289474.71138817567,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2024.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,160.191317406912
PFLO:LEP,0.0,libya,10.0,pop_unimproved_rural,284494.6292986252,284494.6292986252,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2025.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,171.318206313996
PFLO:LEP,0.0,libya,11.0,pop_unimproved_rural,279403.9680850541,279403.9680850541,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2026.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,178.469028245542
PFLO:LEP,0.0,libya,12.0,pop_unimproved_rural,274197.3821081051,274197.3821081051,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2027.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,182.05090164243
PFLO:LEP,0.0,libya,13.0,pop_unimproved_rural,268873.6138056334,257183.45668364983,-11690.15712198356,cb:wali:technical_cost:sanitation:unimp_rural,7.598602129289315e-05,cb,wali,technical_cost,sanitation,unimp_rural,2028.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,185.959534500693
PFLO:LEP,0.0,libya,14.0,pop_unimproved_rural,263432.16374222044,240525.01906898362,-22907.14467323682,cb:wali:technical_cost:sanitation:unimp_rural,0.00014889644037603932,cb,wali,technical_cost,sanitation,unimp_rural,2029.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,190.227305817484
PFLO:LEP,0.0,libya,15.0,pop_unimproved_rural,257873.3363345572,224237.68376918044,-33635.652565376775,cb:wali:technical_cost:sanitation:unimp_rural,0.00021863174167494902,cb,wali,technical_cost,sanitation,unimp_rural,2030.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,194.207818166336
PFLO:LEP,0.0,libya,16.0,pop_unimproved_rural,252198.1693581482,208337.6181654264,-43860.55119272182,cb:wali:technical_cost:sanitation:unimp_rural,0.0002850935827526918,cb,wali,technical_cost,sanitation,unimp_rural,2031.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,198.479111590894
PFLO:LEP,0.0,libya,17.0,pop_unimproved_rural,246408.50817484534,192841.44118031382,-53567.06699453152,cb:wali:technical_cost:sanitation:unimp_rural,0.00034818593546445486,cb,wali,technical_cost,sanitation,unimp_rural,2032.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,203.022955531813
PFLO:LEP,0.0,libya,18.0,pop_unimproved_rural,240507.00775237803,177766.049208279,-62740.958544099034,cb:wali:technical_cost:sanitation:unimp_rural,0.00040781623053664373,cb,wali,technical_cost,sanitation,unimp_rural,2033.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,207.676848911759
PFLO:LEP,0.0,libya,19.0,pop_unimproved_rural,234496.89066280678,163128.2717654308,-71368.61889737597,cb:wali:technical_cost:sanitation:unimp_rural,0.0004638960228329438,cb,wali,technical_cost,sanitation,unimp_rural,2034.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,212.279030283861
PFLO:LEP,0.0,libya,20.0,pop_unimproved_rural,228381.51040518517,148944.4633077299,-79437.04709745527,cb:wali:technical_cost:sanitation:unimp_rural,0.0005163408061334593,cb,wali,technical_cost,sanitation,unimp_rural,2035.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,216.703105719271
PFLO:LEP,0.0,libya,21.0,pop_unimproved_rural,222164.57881309596,135230.61319058,-86933.96562251594,cb:wali:technical_cost:sanitation:unimp_rural,0.0005650707765463536,cb,wali,technical_cost,sanitation,unimp_rural,2036.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,220.84363956743
PFLO:LEP,0.0,libya,22.0,pop_unimproved_rural,215849.9307975891,122002.13479863758,-93847.79599895152,cb:wali:technical_cost:sanitation:unimp_rural,0.000610010673993185,cb,wali,technical_cost,sanitation,unimp_rural,2037.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,224.717964993879
PFLO:LEP,0.0,libya,23.0,pop_unimproved_rural,209441.20358367465,109273.6714349604,-100167.53214871425,cb:wali:technical_cost:sanitation:unimp_rural,0.0006510889589666426,cb,wali,technical_cost,sanitation,unimp_rural,2038.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,228.357842016285
PFLO:LEP,0.0,libya,24.0,pop_unimproved_rural,202942.15072933878,97059.28947924919,-105882.8612500896,cb:wali:technical_cost:sanitation:unimp_rural,0.0006882385981255824,cb,wali,technical_cost,sanitation,unimp_rural,2039.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,231.772203586194
PFLO:LEP,0.0,libya,25.0,pop_unimproved_rural,196356.40797351697,85372.3512928334,-110984.05668068357,cb:wali:technical_cost:sanitation:unimp_rural,0.0007213963684244432,cb,wali,technical_cost,sanitation,unimp_rural,2040.0,Low Emission Pathway,6003,72072,cb:wali:technical_cost:sanitation:unimp_rural:6003,234.994747203802
